listing_id,city,state,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
9327585,Seattle,WA,98102,47.62462334967815,-122.31616214847824,2,1.0,0.0,1.0,69,90.0
7073650,Seattle,WA,98102,47.62748202701772,-122.31615312297896,2,1.0,1.0,1.0,81,100.0
9727857,Seattle,WA,98122,47.61485056899172,-122.3243035019593,1,1.0,1.0,1.0,25,100.0
446276,Seattle,WA,98102,47.62289407407304,-122.3255749674628,3,1.0,2.0,2.0,195,99.0
208670,Seattle,WA,98102,47.621627391991474,-122.3169293075834,5,1.0,1.0,2.0,169,91.0
8868833,Seattle,WA,98102,47.61920606095602,-122.3232524696258,3,1.0,0.0,1.0,95,100.0
7975026,Seattle,WA,98122,47.61522663335171,-122.32428101492906,4,1.0,0.0,2.0,120,80.0
6278216,Seattle,WA,98122,47.61501705985175,-122.3230597659922,5,1.0,1.0,3.0,175,84.0
6425652,Seattle,WA,98102,47.63390682383547,-122.3215254948325,4,1.0,2.0,2.0,200,84.0
8251213,Seattle,WA,98122,47.616519693670014,-122.31459643127462,2,1.0,0.0,1.0,129,100.0
5548982,Seattle,WA,98102,47.61682554836069,-122.32359624163206,2,1.0,1.0,1.0,59,91.0
7335567,Seattle,WA,98102,47.623075962208,-122.31660304673586,2,1.0,0.0,2.0,71,93.0
7875887,Seattle,WA,98122,47.61549540486638,-122.3264756668323,2,1.0,1.0,1.0,90,100.0
3394837,Seattle,WA,98101,47.61327018313919,-122.32947002542674,4,1.0,1.0,2.0,140,97.0
4464795,Seattle,WA,98102,47.61764106757088,-122.32770354691615,2,1.0,1.0,1.0,95,100.0
6927016,Seattle,WA,98102,47.62098898046823,-122.31655611576564,2,1.0,0.0,1.0,100,94.0
699596,Seattle,WA,98122,47.61520033505996,-122.313860487452,2,1.0,1.0,1.0,150,97.0
6387576,Seattle,WA,98102,47.622050584666326,-122.31559908067568,2,1.0,1.0,1.0,89,97.0
1198884,Seattle,WA,98101,47.61330126544714,-122.32993206616352,4,1.0,1.0,1.0,150,93.0
9546508,Seattle,WA,98102,47.62401197575456,-122.31621017742802,2,1.0,0.0,1.0,69,80.0
2386589,Seattle,WA,98122,47.61910066597741,-122.32271145764996,4,1.0,1.0,1.0,125,95.0
9924107,Seattle,WA,98112,47.61836948423559,-122.31474073780552,4,1.0,1.0,2.0,110,100.0
3386862,Seattle,WA,98102,47.6278794169226,-122.3200708279655,3,1.0,1.0,1.0,152,91.0
1520533,Seattle,WA,98102,47.6251349132884,-122.3205097047422,1,0.5,1.0,1.0,49,90.0
9651755,Seattle,WA,98122,47.61554277927273,-122.32668881921678,2,1.0,0.0,1.0,68,100.0
82763,Seattle,WA,98102,47.62043350749607,-122.31688441662835,2,1.0,1.0,1.0,100,92.0
1762354,Seattle,WA,98102,47.61929785224479,-122.31584578996916,2,1.0,1.0,1.0,120,96.0
2836237,Seattle,WA,98102,47.62364523469755,-122.3234775097152,2,1.0,0.0,1.0,110,92.0
8741711,Seattle,WA,98102,47.623129068741285,-122.32560513528108,3,1.0,0.0,1.0,105,100.0
3819831,Seattle,WA,98102,47.61876528552809,-122.31600844955838,2,1.0,1.0,1.0,82,92.0
7087957,Seattle,WA,98122,47.61436709350642,-122.31412814374627,2,1.0,1.0,1.0,126,98.0
1520549,Seattle,WA,98102,47.62506293023641,-122.31905321285264,1,0.5,1.0,1.0,65,80.0
9414303,Seattle,WA,98112,47.625473087322646,-122.31302634012484,3,1.0,1.0,1.0,85,100.0
26116,Seattle,WA,98102,47.61742597866284,-122.3267562717012,4,1.0,2.0,2.0,199,97.0
6452801,Seattle,WA,98102,47.619935222108936,-122.31834048094842,4,1.0,2.0,2.0,159,100.0
8340841,Seattle,WA,98102,47.625889970598976,-122.3166568052174,2,1.0,1.0,1.0,125,100.0
8046691,Seattle,WA,98112,47.623968752733575,-122.31446151785902,2,1.0,1.0,1.0,110,90.0
5563136,Seattle,WA,98102,47.61995332298019,-122.31648783908356,2,1.0,1.0,1.0,100,94.0
6079216,Seattle,WA,98122,47.617445603731625,-122.3267833007078,2,2.0,2.0,2.0,150,100.0
8955477,Seattle,WA,98122,47.6186980165905,-122.32182043314306,4,1.0,1.0,2.0,115,100.0
6424859,Seattle,WA,98102,47.62296851517283,-122.318914970648,2,1.0,1.0,1.0,139,100.0
7651702,Seattle,WA,98102,47.62211620265593,-122.32802969369584,4,1.0,0.0,2.0,100,86.0
6210952,Seattle,WA,98102,47.620265238565,-122.32453129842692,8,2.0,2.0,3.0,300,100.0
9281758,Seattle,WA,98112,47.619151635896365,-122.31287642646492,2,1.0,0.0,1.0,98,100.0
2875975,Seattle,WA,98112,47.61953599381076,-122.31329024943692,5,1.0,4.0,4.0,200,100.0
4318709,Seattle,WA,98102,47.62416288150485,-122.32462894345336,2,1.0,1.0,1.0,60,92.0
6939106,Seattle,WA,98122,47.618987848353214,-122.3157066595997,3,1.0,1.0,2.0,144,98.0
2727938,Seattle,WA,98102,47.62213327261456,-122.32830692806728,2,1.0,0.0,1.0,110,97.0
7695195,Seattle,WA,98112,47.62437140995766,-122.31449356747156,2,1.0,1.0,1.0,90,100.0
6445741,Seattle,WA,98122,47.61763326925246,-122.31478863424516,4,1.0,1.0,1.0,189,100.0
7381005,Seattle,WA,98122,47.61373021474704,-122.31717553174882,2,1.0,1.0,1.0,99,100.0
4023177,Seattle,WA,98117,47.67656866951956,-122.3904257785772,3,1.5,1.0,3.0,119,96.0
1589681,Seattle,WA,98117,47.67876137685482,-122.3830886150338,2,1.0,0.0,1.0,80,98.0
8524349,Seattle,WA,98117,47.68344123146372,-122.37758583141272,4,1.0,1.0,4.0,105,100.0
9429399,Seattle,WA,98117,47.67978818181426,-122.38720229220822,6,1.0,2.0,3.0,98,90.0
7089415,Seattle,WA,98115,47.684385945756205,-122.38731790126847,2,1.0,1.0,1.0,99,100.0
8033438,Seattle,WA,98117,47.67634538462377,-122.39015437100504,2,1.0,1.0,1.0,49,92.0
6836330,Seattle,WA,98117,47.678247195026856,-122.39145461521288,3,1.0,1.0,1.0,90,93.0
975179,Seattle,WA,98117,47.68192738484209,-122.38996596533865,2,1.0,1.0,1.0,55,95.0
1956094,Seattle,WA,98117,47.68274745142257,-122.3894702789052,4,1.0,1.0,1.0,85,94.0
5457260,Seattle,WA,98117,47.6791867438917,-122.38939949379866,2,1.5,1.0,1.0,69,100.0
8594406,Seattle,WA,98117,47.682632764250975,-122.38003166731494,2,1.0,1.0,1.0,75,100.0
7714585,Seattle,WA,98117,47.68589429957411,-122.37838172850022,2,1.0,1.0,1.0,55,96.0
218741,Seattle,WA,98117,47.682309277976834,-122.37874966188296,3,1.0,1.0,1.0,90,95.0
8551871,Seattle,WA,98117,47.6833084146681,-122.37842789781892,2,1.0,1.0,1.0,49,95.0
8567933,Seattle,WA,98117,47.68134889368992,-122.38847819637913,6,1.0,2.0,3.0,115,98.0
7934963,Seattle,WA,98117,47.67782688494264,-122.3901366346651,4,1.0,1.0,2.0,49,91.0
6481764,Seattle,WA,98117,47.68668747130594,-122.39140079237762,5,1.0,3.0,4.0,220,98.0
8426827,Seattle,WA,98117,47.68282230991353,-122.37711414011372,3,1.0,1.0,3.0,135,93.0
7771531,Seattle,WA,98117,47.67613237949535,-122.38789009715448,2,1.0,1.0,1.0,79,94.0
2060441,Seattle,WA,98117,47.67653970620245,-122.38001710277791,12,3.0,5.0,6.0,435,88.0
2158992,Seattle,WA,98117,47.68142459680326,-122.38503894840744,4,1.0,2.0,2.0,110,100.0
4144767,Seattle,WA,98117,47.67703164673482,-122.38978825845714,2,1.0,0.0,1.0,95,84.0
1301535,Seattle,WA,98117,47.68211266720749,-122.37863796163028,7,1.0,2.0,3.0,105,95.0
3882930,Seattle,WA,98117,47.68309623935664,-122.38488747878829,2,1.0,1.0,1.0,60,98.0
